Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
218897	2.59	0.01	Neural Network (Specific Model)	11	0.805	3516	161.74074074074073	48628	0.34	81	14	8680	None
218984	2.35	0.0	Neural Network (Specific Model)	11	0.912	4052	199.04444444444445	29157	0.41	45	7	8623	None
219276	2.49	0.15	Neural Network (Specific Model)	11	0.882	4425	209.89361702127658	33454	0.51	47	8	8421	None
219406	2.33	0.0	Neural Network (Specific Model)	11	0.887	2764	297.8076923076923	26133	0.33	26	8	8355	None
219643	2.79	0.0	Neural Network (Specific Model)	11	0.894	3477	208.34285714285716	48835	0.38	70	14	8211	None
219645	6.25	0.37	Neural Network (Specific Model)	11	0.883	3975	278.3776223776224	135163	0.53	143	35	8210	None
220087	2.61	0.0	Neural Network (Specific Model)	11	0.921	6479	311.2258064516129	31410	0.41	31	7	7962	None
220201	2.98	0.0	Neural Network (Specific Model)	11	0.972	4572	318.5438596491228	55917	0.35	57	15	7891	None
2206	3.35	0.0	Neural Network (Specific Model)	11	0.95	30761	233.42857142857142	30761	0.4	42	1	30761	None
22062	2.64	0.0	Neural Network (Specific Model)	11	0.965	5489	859.8928571428571	74804	0.43	28	14	12367	None
220648	2.35	0.0	Neural Network (Specific Model)	11	0.953	6962	227.375	28546	0.32	40	5	7682	None
220651	3.46	0.0	Neural Network (Specific Model)	11	0.961	2744	309.21487603305786	116212	0.35	121	39	7681	None
220946	2.86	0.0	Neural Network (Specific Model)	11	0.918	3332	269.54761904761904	73772	0.36	84	22	7540	None
220963	2.74	0.01	Neural Network (Specific Model)	11	0.951	4598	231.77464788732394	51737	0.42	71	13	7532	None
221258	2.98	0.0	Neural Network (Specific Model)	11	0.944	4762	219.34146341463415	85329	0.42	123	21	7406	None
221280	2.69	0.0	Neural Network (Specific Model)	11	0.947	3663	443.5098039215686	71555	0.33	51	20	7395	None
221342	2.63	0.01	Neural Network (Specific Model)	11	0.961	5043	468.9583333333333	35107	0.42	24	8	7368	None
221393	3.22	0.0	Neural Network (Specific Model)	11	0.895	4214	251.3734939759036	69797	0.36	83	19	6286	None
221415	3.06	0.0	Neural Network (Specific Model)	11	0.904	3538	227.0	45834	0.44	61	14	7340	None
221515	30.24	0.03	Gradient Boost (General Model)	11	0.86	5622	205.1	35740	0.42	50	9	7299	None
221581	2.96	0.0	Neural Network (Specific Model)	11	0.926	4424	280.14285714285717	37931	0.56	42	9	7263	None
221635	2.5	0.01	Neural Network (Specific Model)	11	0.93	5590	191.82758620689654	35788	0.48	58	8	7246	None
221921	3.58	0.0	Neural Network (Specific Model)	11	0.962	3686	466.25714285714287	50858	0.35	35	15	7124	None
221989	2.35	0.0	Neural Network (Specific Model)	11	0.6	2938	123.984375	39579	0.33	64	13	7096	None
222344	2.91	0.0	Neural Network (Specific Model)	11	0.857	3514	255.609756097561	109743	0.41	123	33	6961	None
222446	2.37	0.0	Neural Network (Specific Model)	11	0.904	4343	366.5813953488372	52282	0.48	43	14	6924	None
222491	4.45	0.0	Neural Network (Specific Model)	11	0.867	2617	290.33898305084745	59187	0.6	59	20	6276	None
222927	2.85	0.0	Neural Network (Specific Model)	11	0.891	6683	223.97142857142856	26359	0.52	35	6	6750	None
223308	3.38	0.0	Neural Network (Specific Model)	11	0.919	2890	248.51807228915663	67250	0.41	83	22	6617	None
223490	3.12	0.0	Neural Network (Specific Model)	11	0.865	3197	233.35849056603774	42821	0.55	53	13	6553	None
223992	3.03	0.0	Neural Network (Specific Model)	11	0.961	3272	535.7407407407408	45136	0.38	27	13	6381	None
224051	2.47	0.0	Neural Network (Specific Model)	11	0.827	4075	180.8095238095238	27307	0.33	42	8	6367	None
224410	2.36	0.0	Neural Network (Specific Model)	11	0.913	3059	218.9512195121951	29403	0.31	41	9	6254	None
22452	7.77	1.87	Neural Network (Specific Model)	11	0.929	3006	265.390243902439	140038	0.45	164	46	6050	None
224903	2.41	0.0	Neural Network (Specific Model)	11	0.824	5005	223.55555555555554	36600	0.42	45	8	6100	None
225126	6.01	0.0	Neural Network (Specific Model)	11	0.91	2503	280.375	51745	0.59	56	19	6032	None
225315	2.73	0.0	Neural Network (Specific Model)	11	0.948	3027	275.575	34725	0.3	40	11	5979	None
226485	2.4	0.0	Neural Network (Specific Model)	11	0.837	4025	237.28571428571428	41684	0.46	49	12	5678	None
226861	2.53	0.0	Neural Network (Specific Model)	11	0.927	3283	331.4074074074074	28916	0.39	27	9	5597	None
227254	2.5	0.0	Neural Network (Specific Model)	11	0.944	3519	234.0	29632	0.47	40	9	5508	None
227331	6.38	0.0	Gradient Boost (General Model)	11	0.734	3848	128.89795918367346	25694	0.39	49	7	5488	None
227775	2.32	0.0	Neural Network (Specific Model)	11	0.891	4784	269.8666666666667	27111	0.51	30	7	5388	None
228785	2.71	0.0	Neural Network (Specific Model)	11	0.943	3391	194.9777777777778	27765	0.42	45	8	5186	None
229679	3.38	0.0	Neural Network (Specific Model)	11	0.935	2670	310.05555555555554	71457	0.45	72	26	5010	None
231080	2.67	0.0	Neural Network (Specific Model)	11	0.928	4192	219.81132075471697	37549	0.45	53	11	4783	None
2313	3.04	0.0	Neural Network (Specific Model)	11	0.982	29434	293.2121212121212	29434	0.42	33	1	29434	None
231419	2.61	0.0	Neural Network (Specific Model)	11	0.944	3484	474.3333333333333	63304	0.37	42	20	4732	None
232182	2.92	0.01	Neural Network (Specific Model)	11	0.869	3204	301.44	25996	0.58	25	9	4613	None
232401	2.44	0.01	Neural Network (Specific Model)	11	0.956	3481	306.825	38400	0.44	40	13	4578	None
233	97.83	104.47	Gradient Boost (General Model)	11	0.924	6719	298.5498081228014	12094269	0.36	12508	2245	81721	None
233145	2.66	0.0	Neural Network (Specific Model)	11	0.953	2926	257.5357142857143	45256	0.61	56	16	4477	None
23486	36.08	1.43	Gradient Boost (General Model)	11	0.914	3042	287.88461538461536	48953	0.33	52	16	5879	None
234868	2.64	0.0	Neural Network (Specific Model)	11	0.831	2935	203.59459459459458	27048	0.43	37	9	4268	None
23606	6.38	0.0	Gradient Boost (General Model)	11	0.084	4672	92.41666666666667	39728	0.45	12	10	5858	None
2365	2.34	0.0	Neural Network (Specific Model)	11	0.927	28914	288.4193548387097	28914	0.34	31	1	28914	None
2368	3.19	0.0	Neural Network (Specific Model)	11	0.915	28889	188.17021276595744	28889	0.56	47	1	28889	None
237295	6.88	0.2	Neural Network (Specific Model)	11	0.95	2421	345.5520833333333	104525	0.33	96	41	4000	None
237487	2.33	0.0	Neural Network (Specific Model)	11	0.812	3713	159.19148936170214	27568	0.43	47	7	9698	None
238944	3.53	0.0	Neural Network (Specific Model)	11	0.861	2791	484.24	42154	0.54	25	15	5256	None
239327	2.48	0.0	Neural Network (Specific Model)	11	0.979	2487	423.12	32349	0.46	25	13	3625	None
242317	3.84	0.02	Neural Network (Specific Model)	11	0.914	2212	212.93023255813952	29983	0.59	43	13	3002	None
242907	2.53	0.0	Neural Network (Specific Model)	11	0.938	36665	202.5438596491228	36665	0.59	57	1	36665	None
250860	2.5	0.0	Neural Network (Specific Model)	11	0.737	2263	256.93548387096774	32401	0.49	31	14	3039	None
25328	2.33	0.0	Neural Network (Specific Model)	11	0.992	3261	1040.7777777777778	28329	0.34	9	9	5601	None
254576	2.89	0.0	Neural Network (Specific Model)	11	0.948	2169	242.34285714285716	26799	0.42	35	12	2868	None
2551	2.62	0.0	Neural Network (Specific Model)	11	0.889	19568	229.20238095238096	64814	0.4	84	4	27215	None
2619	4.22	0.08	Neural Network (Specific Model)	11	0.897	17380	220.62198391420912	273619	0.56	373	20	26664	None
2727	3.79	0.01	Neural Network (Specific Model)	11	0.908	15690	197.32474226804123	126065	0.37	194	13	25666	None
2754	3.13	0.0	Neural Network (Specific Model)	11	0.939	25480	198.56410256410257	49208	0.43	78	3	25480	None
2876	2.46	0.0	Neural Network (Specific Model)	11	0.874	24555	216.8108108108108	27431	0.47	37	2	24555	None
2880	2.97	0.01	Neural Network (Specific Model)	11	0.914	19188	244.17073170731706	65580	0.42	82	5	24515	None
31580	2.75	0.27	Neural Network (Specific Model)	11	0.824	4505	312.2916666666667	27280	0.5	24	7	4895	None
3193	59.79	13.89	Gradient Boost (General Model)	11	0.484	2464	91.3471697150366	129716859	0.47	235153	48667	28625	Low confidence prediction - substantial (40%) disagreement between completeness prediction models
320	96.75	101.92	Gradient Boost (General Model)	11	0.891	9434	288.6397728050366	14173403	0.6	14613	2187	145735	Low confidence prediction - substantial (36%) disagreement between completeness prediction models
3234	3.67	0.05	Neural Network (Specific Model)	11	0.857	18100	181.6604938271605	101795	0.49	162	8	22034	None
3254	13.73	1.93	Neural Network (Specific Model)	11	0.888	10586	208.98330241187384	379500	0.32	539	65	35038	None
32993	3.93	0.0	Neural Network (Specific Model)	11	0.97	2845	300.3	27825	0.57	30	9	4772	None
3360	6.98	0.0	Neural Network (Specific Model)	11	0.817	172875	240.58715596330276	192376	0.33	218	3	172875	None
3374	95.89	71.05	Gradient Boost (General Model)	11	0.884	13048	296.07186661556153	5235051	0.56	5218	631	120335	None
3379	53.99	29.61	Gradient Boost (General Model)	11	0.901	6868	255.80103359173125	1312667	0.36	1548	215	113522	None
3386	71.38	31.56	Neural Network (Specific Model)	11	0.927	15673	323.81481481481484	2316822	0.41	2214	192	108390	None
36056	7.44	0.0	Neural Network (Specific Model)	11	0.951	3109	387.8269230769231	63585	0.35	52	22	4529	None
3626	2.59	0.0	Neural Network (Specific Model)	11	0.921	40649	236.9433962264151	40649	0.37	53	1	40649	None
3667	3.27	0.01	Neural Network (Specific Model)	11	0.93	37881	180.92592592592592	62543	0.54	108	8	37881	None
3674	32.71	7.03	Neural Network (Specific Model)	11	0.895	18495	286.628038897893	1182366	0.51	1234	147	180682	None
377	100.0	104.15	Gradient Boost (General Model)	11	0.926	9357	340.5998798695727	12846260	0.48	11654	1992	149551	Low confidence prediction - substantial (36%) disagreement between completeness prediction models
393	3.07	0.0	Neural Network (Specific Model)	11	0.824	89689	176.04395604395606	116442	0.36	182	10	89689	None
3965	3.87	0.01	Neural Network (Specific Model)	11	0.903	7170	191.44	142465	0.48	225	22	35418	None
3996	14.42	0.65	Neural Network (Specific Model)	11	0.898	12561	240.1329423264907	818603	0.52	1023	89	38041	None
4012	3.96	0.0	Neural Network (Specific Model)	11	0.931	17087	284.51798561151077	127250	0.38	139	9	34498	None
4023	2.66	0.0	Neural Network (Specific Model)	11	0.94	34206	192.03571428571428	34206	0.5	56	1	34206	None
4208	2.76	0.0	Neural Network (Specific Model)	11	0.883	29212	331.7692307692308	29212	0.49	26	1	29212	None
4230	2.33	0.0	Neural Network (Specific Model)	11	0.756	28648	158.10169491525423	36900	0.42	59	2	28648	None
432	2.9	0.0	Neural Network (Specific Model)	11	0.86	73450	213.46464646464648	73450	0.37	99	1	73450	None
4332	2.61	0.0	Neural Network (Specific Model)	11	0.954	7393	333.6551724137931	60414	0.5	58	6	26611	None
4455	3.55	0.0	Neural Network (Specific Model)	11	0.863	23524	251.7471264367816	75970	0.44	87	7	24280	None
4613	2.54	0.0	Neural Network (Specific Model)	11	0.789	16647	190.4903846153846	74950	0.37	104	7	21528	None
4757	3.72	0.46	Neural Network (Specific Model)	11	0.932	8925	230.94258373205741	308886	0.47	418	49	20884	None
4821	3.71	1.8	Neural Network (Specific Model)	11	0.871	10252	252.19724770642202	188789	0.51	218	23	20594	None
49	76.09	111.5	Neural Network (Specific Model)	11	0.9	35027	309.74264348839466	10607546	0.47	10297	980	190927	None
4906	2.71	0.0	Neural Network (Specific Model)	11	0.944	17846	266.7536231884058	58134	0.49	69	4	20263	None
5010	22.02	0.0	Neural Network (Specific Model)	11	0.913	9000	319.1635338345865	556922	0.46	532	80	19854	None
5072	82.43	26.27	Gradient Boost (General Model)	11	0.895	3626	269.4829617164493	2142664	0.6	2377	599	19603	None
5174	2.64	0.03	Neural Network (Specific Model)	11	0.957	15961	372.6046511627907	50149	0.61	43	3	19252	None
5194	2.4	0.0	Neural Network (Specific Model)	11	0.972	19197	246.5	34779	0.45	46	3	19197	None
527	63.74	111.26	Neural Network (Specific Model)	11	0.872	5644	279.05467996140237	8945103	0.6	9327	1810	64709	None
5285	2.67	0.0	Neural Network (Specific Model)	11	0.952	9376	349.2083333333333	52691	0.34	48	6	18891	None
53	100.0	105.82	Gradient Boost (General Model)	11	0.916	7359	303.1788211788212	13883755	0.45	14014	2362	177528	None
5521	3.35	0.02	Neural Network (Specific Model)	11	0.901	18102	298.7931034482759	28652	0.37	29	2	18102	None
5757	3.43	0.06	Neural Network (Specific Model)	11	0.887	11843	191.9262295081967	78935	0.42	122	8	17451	None
5836	2.37	0.0	Neural Network (Specific Model)	11	0.919	17229	231.88636363636363	33007	0.45	44	2	17229	None
60255	3.51	0.09	Neural Network (Specific Model)	11	0.946	2706	178.5648148148148	60902	0.43	108	23	3464	None
6133	2.34	0.0	Neural Network (Specific Model)	11	0.943	16577	309.57575757575756	32295	0.54	33	3	16577	None
63637	3.33	0.0	Neural Network (Specific Model)	11	0.98	2385	293.6363636363636	39476	0.52	44	16	3372	None
679	3.31	0.0	Neural Network (Specific Model)	11	0.924	57116	332.77966101694915	63579	0.51	59	2	57116	None
691	8.81	0.01	Neural Network (Specific Model)	11	0.923	54348	222.8519855595668	199661	0.41	277	12	56692	None
718	2.72	0.0	Neural Network (Specific Model)	11	0.798	55367	140.68571428571428	55367	0.45	105	1	55367	None
7645	3.94	0.0	Neural Network (Specific Model)	11	0.943	7436	340.0612244897959	52802	0.47	49	8	13725	None
775	2.67	0.0	Neural Network (Specific Model)	11	0.891	53354	193.02272727272728	57074	0.53	88	2	53354	None
7853	2.61	0.0	Neural Network (Specific Model)	11	0.909	7705	406.6	40226	0.48	30	7	13433	None
800	2.88	0.0	Neural Network (Specific Model)	11	0.951	52537	249.77611940298507	52537	0.52	67	1	52537	None
8463	3.25	0.01	Neural Network (Specific Model)	11	0.901	12220	341.7142857142857	31842	0.49	28	4	12669	None
8786	2.88	0.01	Neural Network (Specific Model)	11	0.906	7220	349.6190476190476	48590	0.45	42	9	12304	None
9062	2.55	0.0	Neural Network (Specific Model)	11	0.918	11623	170.62121212121212	36618	0.39	66	4	11984	None
92250	2.66	0.0	Neural Network (Specific Model)	11	0.983	8156	644.1428571428571	68710	0.36	35	13	13141	None
9881	2.4	0.0	Neural Network (Specific Model)	11	0.959	11158	375.6875	37470	0.41	32	5	11203	None
10228	4.45	0.03	Neural Network (Specific Model)	11	0.879	3638	192.27272727272728	43133	0.45	66	11	10899	None
10420	2.33	0.0	Neural Network (Specific Model)	11	0.954	4478	373.82608695652175	27036	0.34	23	6	10726	None
10600	34.05	2.51	Neural Network (Specific Model)	11	0.924	3446	262.95522388059703	627975	0.43	737	183	10576	None
1082	3.19	0.0	Neural Network (Specific Model)	11	0.924	44947	262.45283018867923	44947	0.35	53	1	44947	None
11030	2.74	0.02	Neural Network (Specific Model)	11	0.973	6907	191.68269230769232	60630	0.34	104	13	10226	None
11419	31.87	3.28	Gradient Boost (General Model)	11	0.913	8812	138.83050847457628	26918	0.49	59	4	9931	None
115787	2.59	0.0	Neural Network (Specific Model)	11	0.9	4792	140.11111111111111	29180	0.6	63	7	7752	None
1172	3.47	0.01	Neural Network (Specific Model)	11	0.935	43247	234.41121495327104	80185	0.49	107	7	43247	None
1248	2.81	0.0	Neural Network (Specific Model)	11	0.946	42089	393.09302325581393	53509	0.56	43	2	42089	None
127	100.0	24.09	Neural Network (Specific Model)	11	0.881	18045	306.5818012566907	4476355	0.62	4297	574	112073	None
1273	3.78	0.0	Neural Network (Specific Model)	11	0.956	41581	303.9619565217391	174457	0.5	184	10	41819	None
12764	34.86	1.94	Neural Network (Specific Model)	11	0.941	2773	291.66769865841076	899111	0.49	969	316	9078	None
1280	3.11	0.02	Neural Network (Specific Model)	11	0.957	41594	290.2173913043478	104268	0.62	115	8	41754	None
12846	3.39	0.0	Neural Network (Specific Model)	11	0.958	3703	223.375	99926	0.3	144	27	9021	None
12956	2.59	0.0	Neural Network (Specific Model)	11	0.955	4869	249.97142857142856	27308	0.4	35	7	8965	None
130	5.88	0.0	Neural Network (Specific Model)	11	0.607	110996	117.82779456193353	191417	0.31	331	6	110996	None
1301	2.6	0.0	Neural Network (Specific Model)	11	0.93	41457	196.24242424242425	41457	0.41	66	1	41457	None
13282	2.38	0.0	Neural Network (Specific Model)	11	0.969	8782	589.6315789473684	34671	0.43	19	4	8792	None
1340	2.91	0.0	Neural Network (Specific Model)	11	0.937	40831	214.43333333333334	40831	0.45	60	1	40831	None
1367	2.41	0.0	Neural Network (Specific Model)	11	0.944	40444	425.03333333333336	40444	0.5	30	1	40444	None
150256	2.45	0.0	Neural Network (Specific Model)	11	0.943	6502	239.0	44648	0.32	59	7	12439	None
1510	6.05	0.0	Neural Network (Specific Model)	11	0.899	38637	285.5	57012	0.34	60	2	38637	None
1512	2.66	0.07	Neural Network (Specific Model)	11	0.962	38621	273.86046511627904	72956	0.48	86	3	38621	None
15123	5.9	0.2	Neural Network (Specific Model)	11	0.917	17161	293.11149825783974	273459	0.49	287	30	30676	None
15184	2.37	0.0	Neural Network (Specific Model)	11	0.985	5542	637.6666666666666	34951	0.47	18	7	7960	None
1523	2.39	0.0	Neural Network (Specific Model)	11	0.951	38443	185.84848484848484	38443	0.58	66	1	38443	None
15604	3.22	0.01	Neural Network (Specific Model)	11	0.903	7807	196.62105263157895	61707	0.52	95	11	18653	None
1679	2.86	0.0	Neural Network (Specific Model)	11	0.951	36540	292.025	36540	0.46	40	1	36540	None
17389	2.65	0.0	Neural Network (Specific Model)	11	0.857	5076	231.9512195121951	32813	0.54	41	8	7188	None
17459	3.29	0.09	Neural Network (Specific Model)	11	0.913	5038	271.4	44274	0.52	50	10	7167	None
17660	2.54	0.0	Neural Network (Specific Model)	11	0.922	3525	222.31428571428572	25181	0.31	35	7	7117	None
187009	2.32	0.0	Neural Network (Specific Model)	11	0.906	2765	189.36170212765958	29267	0.48	47	11	3736	None
1890	3.11	0.0	Neural Network (Specific Model)	11	0.895	14380	275.2323232323232	91179	0.54	99	14	34180	None
189880	4.06	0.02	Neural Network (Specific Model)	11	0.94	3618	202.2636815920398	129255	0.35	201	38	13046	None
2027	4.58	0.03	Neural Network (Specific Model)	11	0.953	11777	205.14615384615385	83362	0.59	130	7	32605	None
20622	8.29	0.68	Gradient Boost (General Model)	11	0.976	2568	374.1111111111111	31035	0.32	27	10	6407	None
209806	19.12	5.46	Neural Network (Specific Model)	11	0.917	26380	204.38260200153965	864605	0.46	1299	68	126944	None
209828	3.45	0.0	Neural Network (Specific Model)	11	0.667	105464	146.9125	105464	0.38	160	1	105464	None
209833	41.29	24.07	Gradient Boost (General Model)	11	0.879	13047	197.19594997022037	2249743	0.41	3358	281	104123	None
209867	13.77	0.4	Neural Network (Specific Model)	11	0.922	18310	320.52	468032	0.32	450	39	92268	None
210150	4.56	0.06	Neural Network (Specific Model)	11	0.917	16730	257.9353741496599	247371	0.58	294	28	53516	None
210157	5.43	0.2	Neural Network (Specific Model)	11	0.915	52506	247.4485294117647	109746	0.41	136	3	53282	None
210213	2.67	0.0	Neural Network (Specific Model)	11	0.886	50281	266.23214285714283	50281	0.4	56	1	50281	None
210357	26.59	1.11	Neural Network (Specific Model)	11	0.896	12026	270.3400809716599	668623	0.32	741	81	43397	None
210448	8.9	0.39	Neural Network (Specific Model)	11	0.912	13621	253.34201954397395	254641	0.5	307	24	40928	None
210517	2.57	0.0	Neural Network (Specific Model)	11	0.938	39559	239.25	39559	0.41	52	1	39559	None
210529	2.8	0.0	Neural Network (Specific Model)	11	0.915	39205	211.21052631578948	39205	0.39	57	1	39205	None
210546	2.44	0.0	Neural Network (Specific Model)	11	0.945	38871	261.3829787234043	38871	0.34	47	1	38871	None
210631	4.81	0.2	Neural Network (Specific Model)	11	0.917	29209	262.5929203539823	96599	0.42	113	4	37291	None
210747	6.78	0.19	Neural Network (Specific Model)	11	0.883	10197	262.7731092436975	423761	0.42	476	55	35587	None
210953	3.49	0.01	Neural Network (Specific Model)	11	0.92	32451	233.59235668789808	119282	0.41	157	12	42572	None
210957	3.55	0.01	Neural Network (Specific Model)	11	0.939	27166	206.27586206896552	95042	0.59	145	7	32428	None
210969	2.49	0.0	Neural Network (Specific Model)	11	0.694	12770	137.96666666666667	71083	0.36	120	8	32229	None
211032	30.56	3.34	Neural Network (Specific Model)	11	0.928	7709	331.34763313609466	722769	0.46	676	113	31518	None
211168	2.47	0.0	Neural Network (Specific Model)	11	0.984	29297	557.44	42448	0.29	25	5	29297	None
211208	2.33	0.0	Neural Network (Specific Model)	11	0.948	28900	295.16129032258067	28900	0.52	31	1	28900	None
211265	2.77	0.0	Neural Network (Specific Model)	11	0.904	28261	208.43939393939394	45290	0.55	66	3	28261	None
211466	3.12	0.01	Neural Network (Specific Model)	11	0.936	17340	295.75912408759126	129346	0.47	137	15	26060	None
211501	3.3	0.04	Neural Network (Specific Model)	11	0.911	8218	228.0	112108	0.43	150	15	25712	None
211624	3.09	0.23	Neural Network (Specific Model)	11	0.933	9567	264.7564102564103	132472	0.48	156	17	24774	None
211778	3.99	0.06	Neural Network (Specific Model)	11	0.787	11379	216.94303797468353	130251	0.49	158	14	23483	None
211834	4.95	0.0	Neural Network (Specific Model)	11	0.902	9890	262.20111731843576	155625	0.57	179	22	23059	None
211868	3.24	0.1	Neural Network (Specific Model)	11	0.903	4733	184.33766233766235	93869	0.55	154	20	22761	None
212017	6.03	0.0	Neural Network (Specific Model)	11	0.851	4933	261.74074074074076	174067	0.33	189	37	21783	None
212020	4.25	0.0	Neural Network (Specific Model)	11	0.84	11766	274.969696969697	96997	0.51	99	19	21763	None
212235	3.45	0.02	Neural Network (Specific Model)	11	0.85	5420	225.86458333333334	75973	0.56	96	15	20503	None
212283	6.91	0.02	Neural Network (Specific Model)	11	0.884	3689	268.8074534161491	292796	0.36	322	83	11260	None
212462	2.41	0.0	Neural Network (Specific Model)	11	0.885	19318	204.03636363636363	37955	0.49	55	2	19318	None
212479	3.63	0.01	Neural Network (Specific Model)	11	0.895	5155	200.2	123261	0.38	185	27	12338	None
212591	3.22	0.0	Neural Network (Specific Model)	11	0.978	6271	372.9462365591398	106035	0.41	93	20	18647	None
212649	4.28	0.26	Neural Network (Specific Model)	11	0.923	7235	377.5776397515528	196705	0.41	161	38	18432	None
212711	5.37	0.03	Neural Network (Specific Model)	11	0.944	7736	344.65818181818184	300959	0.4	275	50	18198	None
212728	2.42	0.0	Neural Network (Specific Model)	11	0.941	18147	244.23809523809524	32491	0.41	42	2	18147	None
212848	3.55	0.46	Neural Network (Specific Model)	11	0.855	7205	285.9154929577465	70737	0.5	71	11	17730	None
212862	4.63	0.0	Neural Network (Specific Model)	11	0.693	13148	156.56363636363636	111567	0.35	165	15	17683	None
212960	11.77	1.55	Neural Network (Specific Model)	11	0.899	5496	236.89344262295083	288679	0.45	366	58	17341	None
213075	5.68	0.16	Neural Network (Specific Model)	11	0.85	5941	254.6139705882353	243166	0.46	272	46	15382	None
213087	3.28	0.06	Neural Network (Specific Model)	11	0.931	6256	216.976	87151	0.41	125	17	16895	None
213109	4.1	0.01	Neural Network (Specific Model)	11	0.958	4121	238.51546391752578	72011	0.43	97	17	16805	None
213267	3.07	0.0	Neural Network (Specific Model)	11	0.941	15120	229.34567901234567	59052	0.42	81	5	16401	None
213780	3.3	0.07	Neural Network (Specific Model)	11	0.953	4632	263.1111111111111	111173	0.47	135	24	10071	None
213990	3.81	0.0	Neural Network (Specific Model)	11	0.876	4717	272.4557823129252	136656	0.45	147	31	14559	None
214044	3.49	0.01	Neural Network (Specific Model)	11	0.9	8364	149.45801526717557	64795	0.45	131	10	14430	None
214391	4.12	0.0	Neural Network (Specific Model)	11	0.92	3816	258.4016393442623	102553	0.35	122	27	13745	None
214429	4.12	0.11	Neural Network (Specific Model)	11	0.92	4917	192.5679012345679	101226	0.44	162	22	13674	None
214480	12.95	0.41	Neural Network (Specific Model)	11	0.866	4221	199.2408376963351	262817	0.4	382	64	13580	None
214483	5.58	0.09	Neural Network (Specific Model)	11	0.946	4631	275.7295597484277	138652	0.38	159	33	13578	None
214673	2.55	0.0	Neural Network (Specific Model)	11	0.959	7020	517.4827586206897	46919	0.52	29	8	13228	None
214810	2.62	0.0	Neural Network (Specific Model)	11	0.935	4907	230.02970297029702	74254	0.4	101	16	13009	None
215100	4.11	0.01	Neural Network (Specific Model)	11	0.916	6126	366.0	150929	0.44	126	31	10880	None
215202	2.73	0.0	Neural Network (Specific Model)	11	0.886	12011	187.6769230769231	41015	0.43	65	4	12456	None
215357	2.66	0.0	Neural Network (Specific Model)	11	0.894	4910	268.72972972972974	66658	0.43	74	14	12226	None
215551	3.78	0.0	Neural Network (Specific Model)	11	0.906	5057	238.8272727272727	86715	0.34	110	20	11943	None
215567	2.56	0.0	Neural Network (Specific Model)	11	0.92	9328	238.93617021276594	36525	0.42	47	6	11930	None
215583	2.55	0.0	Neural Network (Specific Model)	11	0.926	5611	175.56470588235294	48046	0.42	85	10	11901	None
215712	4.0	0.02	Neural Network (Specific Model)	11	0.955	4050	302.33870967741933	117376	0.49	124	29	11734	None
215811	2.28	0.0	Neural Network (Specific Model)	11	0.932	7002	228.05357142857142	40897	0.43	56	7	11599	None
215962	3.5	0.0	Neural Network (Specific Model)	11	0.876	10070	269.3030303030303	60759	0.45	66	10	15524	None
216060	2.4	0.0	Neural Network (Specific Model)	11	0.953	5931	375.8965517241379	34234	0.47	29	6	11295	None
216268	2.7	0.02	Neural Network (Specific Model)	11	0.973	29930	416.5	40968	0.5	32	2	29930	None
216391	2.63	0.01	Neural Network (Specific Model)	11	0.962	10869	172.20833333333334	37854	0.47	72	5	10880	None
216502	2.47	0.0	Neural Network (Specific Model)	11	0.81	8219	197.70833333333334	35087	0.35	48	6	10741	None
216561	2.44	0.0	Neural Network (Specific Model)	11	0.664	5277	118.40625	50897	0.31	96	11	10666	None
216610	2.39	0.05	Neural Network (Specific Model)	11	0.876	4886	194.02898550724638	45620	0.38	69	9	10626	None
216664	2.39	0.0	Neural Network (Specific Model)	11	0.939	8235	400.1034482758621	37013	0.49	29	6	10564	None
2167	3.03	0.0	Neural Network (Specific Model)	11	0.937	31090	226.95348837209303	31090	0.47	43	1	31090	None
216798	4.09	0.03	Neural Network (Specific Model)	11	0.856	3751	324.85714285714283	47811	0.34	42	12	10416	None
216912	3.19	0.03	Neural Network (Specific Model)	11	0.896	4352	262.78125	84422	0.38	96	20	10292	None
216964	3.29	0.0	Neural Network (Specific Model)	11	0.938	4936	246.6865671641791	105341	0.32	134	27	10249	None
217141	4.21	0.04	Neural Network (Specific Model)	11	0.826	7067	147.41803278688525	65160	0.37	122	11	10087	None
217708	5.35	0.01	Neural Network (Specific Model)	11	0.866	4855	256.578313253012	147049	0.52	166	37	10260	None
217852	5.05	3.68	Neural Network (Specific Model)	11	0.926	6792	326.16346153846155	109818	0.43	104	23	9410	None
218079	4.06	0.04	Neural Network (Specific Model)	11	0.887	5355	300.6842105263158	38614	0.5	38	8	9228	None
218537	2.63	0.0	Neural Network (Specific Model)	11	0.883	2935	157.4	39804	0.44	75	11	8920	None
218622	2.77	0.0	Neural Network (Specific Model)	11	0.9	7458	148.18055555555554	35300	0.43	72	7	8857	None
218836	2.65	0.0	Neural Network (Specific Model)	11	0.949	3903	207.25	28556	0.34	44	7	8714	None
218860	2.64	0.0	Neural Network (Specific Model)	11	0.853	4437	208.9795918367347	35943	0.49	49	8	8699	None
219169	15.26	1.6	Neural Network (Specific Model)	11	0.87	3054	262.31315240083507	432564	0.57	479	138	8497	None
